"SAMPN","PERNO","DAYNO","TPURP","ACTDUR"
4000001,1,1,3,340
4000001,1,1,2,25
4000001,1,1,13,70
4000001,1,1,13,130
4000001,1,1,13,30
4000001,1,1,15,20
4000001,1,1,2,399
4000001,1,2,2,975
4000001,1,2,20,55
4000001,1,2,2,389
4000001,2,1,2,735
4000001,2,1,13,70
4000001,2,1,13,130
4000001,2,1,13,30
4000001,2,1,15,20
4000001,2,1,2,399
4000001,2,2,2,975
4000001,2,2,20,55
4000001,2,2,2,389
4000001,3,1,2,735
4000001,3,1,13,70
4000001,3,1,13,130
4000001,3,1,13,30
4000001,3,1,15,20
4000001,3,1,2,399
4000001,3,2,2,975
4000001,3,2,16,55
4000001,3,2,2,389
4000064,1,1,2,320
4000064,1,1,18,65
4000064,1,1,12,17
4000064,1,1,3,410
4000064,1,1,2,549
4000064,2,1,2,280
4000064,2,1,3,300
4000064,2,1,17,10
4000064,2,1,3,160
4000064,2,1,13,20
4000064,2,1,13,5
4000064,2,1,13,10
4000064,2,1,2,10
4000064,2,1,19,210
4000064,2,1,2,299
4000064,3,1,2,260
4000064,3,1,5,520
4000064,3,1,2,619
4000066,1,1,2,350
4000066,1,1,13,20
4000066,1,1,13,60
4000066,1,1,3,180
4000066,1,1,21,90
4000066,1,1,2,105
4000066,1,1,21,150
4000066,1,1,2,344
4000136,1,1,2,334
4000136,1,1,3,521
4000136,1,1,21,45
4000136,1,1,12,15
4000136,1,1,13,30
4000136,1,1,17,10
4000136,1,1,2,369
4000136,1,2,2,305
4000136,1,2,3,475
4000136,1,2,13,11
4000136,1,2,9,1
4000136,1,2,16,220
4000136,1,2,2,279
4000136,2,1,2,558
4000136,2,1,17,7
4000136,2,1,13,8
4000136,2,1,11,35
4000136,2,1,13,157
4000136,2,1,11,5
4000136,2,1,2,579
4000136,2,2,2,584
4000136,2,2,13,3
4000136,2,2,13,5
4000136,2,2,17,13
4000136,2,2,13,12
4000136,2,2,12,8
4000136,2,2,12,1
4000136,2,2,2,769
4000154,1,1,2,300
4000154,1,1,3,480
4000154,1,1,2,589
4000154,1,2,2,315
4000154,1,2,3,490
4000154,1,2,2,534
4000158,1,1,2,184
4000158,1,1,3,535
4000158,1,1,2,656
4000158,1,2,2,187
4000158,1,2,3,541
4000158,1,2,2,56
4000158,1,2,14,7
4000158,1,2,2,602
4000158,2,1,2,430
4000158,2,1,15,59
4000158,2,1,14,8
4000158,2,1,2,885
4000158,2,2,2,1439
4000160,1,1,2,315
4000160,1,1,21,270
4000160,1,1,2,30
4000160,1,1,21,90
4000160,1,1,2,1
4000160,1,1,13,20
4000160,1,1,2,620
4000160,2,1,2,315
4000160,2,1,21,270
4000160,2,1,2,30
4000160,2,1,21,90
4000160,2,1,2,1
4000160,2,1,13,20
4000160,2,1,2,620
4000176,1,1,2,135
4000176,1,1,3,810
4000176,1,1,2,469
4000176,1,2,2,163
4000176,1,2,20,60
4000176,1,2,2,30
4000176,1,2,11,110
4000176,1,2,11,95
4000176,1,2,11,117
4000176,1,2,2,179
4000176,1,2,11,135
4000176,1,2,2,410
4000176,2,1,2,210
4000176,2,1,3,525
4000176,2,1,2,674
4000176,2,2,2,210
4000176,2,2,3,525
4000176,2,2,2,674
4000193,1,1,2,615
4000193,1,1,13,10
4000193,1,1,13,40
4000193,1,1,2,759
4000193,1,2,2,1439
4000218,1,1,2,420
4000218,1,1,16,10
4000218,1,1,2,235
4000218,1,1,12,20
4000218,1,1,16,55
4000218,1,1,12,25
4000218,1,1,13,35
4000218,1,1,2,157
4000218,1,1,20,65
4000218,1,1,2,327
4000218,2,1,2,315
4000218,2,1,20,75
4000218,2,1,14,5
4000218,2,1,13,40
4000218,2,1,2,5
4000218,2,1,14,20
4000218,2,1,12,10
4000218,2,1,2,899
4000228,1,1,2,660
4000228,1,1,9,10
4000228,1,1,21,734
4000228,2,1,2,330
4000228,2,1,3,665
4000228,2,1,2,394
4000230,1,1,2,560
4000230,1,1,14,75
4000230,1,1,2,781
4000230,1,2,2,450
4000230,1,2,16,15
4000230,1,2,16,14
4000230,1,2,2,944
4000230,2,1,2,935
4000230,2,1,21,140
4000230,2,1,2,319
4000230,2,2,2,190
4000230,2,2,3,540
4000230,2,2,2,669
4000239,1,1,2,320
4000239,1,1,12,15
4000239,1,1,2,131
4000239,1,1,13,45
4000239,1,1,2,116
4000239,1,1,21,212
4000239,1,1,2,505
4000239,2,1,2,240
4000239,2,1,16,180
4000239,2,1,11,210
4000239,2,1,13,45
4000239,2,1,2,659
4000260,1,1,2,417
4000260,1,1,15,8
4000260,1,1,13,1
4000260,1,1,17,5
4000260,1,1,8,6
4000260,1,1,13,47
4000260,1,1,13,55
4000260,1,1,13,48
4000260,1,1,2,749
4000260,1,2,2,305
4000260,1,2,18,85
4000260,1,2,18,10
4000260,1,2,2,103
4000260,1,2,16,97
4000260,1,2,17,32
4000260,1,2,2,692
4000260,2,1,2,417
4000260,2,1,15,8
4000260,2,1,13,1
4000260,2,1,17,5
4000260,2,1,8,6
4000260,2,1,13,47
4000260,2,1,13,55
4000260,2,1,13,48
4000260,2,1,2,749
4000260,2,2,2,305
4000260,2,2,18,85
4000260,2,2,18,10
4000260,2,2,2,992
4000301,1,1,1,1439
4000301,2,1,2,325
4000301,2,1,3,212
4000301,2,1,17,46
4000301,2,1,3,351
4000301,2,1,2,217
4000301,2,1,9,4
4000301,2,1,13,3
4000301,2,1,2,219
4000301,3,1,2,325
4000301,3,1,7,377
4000301,3,1,5,235
4000301,3,1,7,2
4000301,3,1,12,3
4000301,3,1,2,219
4000301,4,1,2,460
4000301,4,1,12,3
4000301,4,1,13,10
4000301,4,1,21,60
4000301,4,1,2,30
4000301,4,1,15,20
4000301,4,1,15,5
4000301,4,1,2,764
4000301,5,1,1,1439
4000306,1,1,2,570
4000306,1,1,16,30
4000306,1,1,17,15
4000306,1,1,13,20
4000306,1,1,2,120
4000306,1,1,13,110
4000306,1,1,2,469
4000306,2,1,2,570
4000306,2,1,16,30
4000306,2,1,17,15
4000306,2,1,13,20
4000306,2,1,13,60
4000306,2,1,13,120
4000306,2,1,13,50
4000306,2,1,2,439
4000306,3,1,2,375
4000306,3,1,5,75
4000306,3,1,13,30
4000306,3,1,3,420
4000306,3,1,2,169
4000338,1,1,2,270
4000338,1,1,3,250
4000338,1,1,14,15
4000338,1,1,3,225
4000338,1,1,2,609
4000338,2,1,2,245
4000338,2,1,3,530
4000338,2,1,2,599
4000414,1,1,2,210
